Experiment,Heads,FFN,Optim,BLEU-4,BERTScore
Macro (4 Heads),4,512,Adam,40.75223556269225,84.39733982086182
SOTA (AdamW+PreNorm),8,1024,Adam,40.476147841200955,84.52326655387878
Micro (16 Heads),16,512,Adam,39.47763292012768,83.49902629852295
Fat FFN (2048),8,2048,Adam,38.63952815088613,83.90579223632812
Baseline (8 Heads),8,512,Adam,38.51843235560216,83.75147581100464
